baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	UniprotID
phoB	0.000188549685856778	0.203610965909031	0.170364605625077	0	1	1	WP_000650776.1
ABUW_RS00530	4.00837589077476e-05	0.398943793057252	0.208217063051648	0	1	1	WP_000224581.1
ABUW_RS00535	3.52208547677089e-05	0.0413872044863978	0.191124987467108	0	1	1	WP_000787753.1
ABUW_RS00540	0.000107839708412632	0.166911579373978	0.146920626054732	0	1	1	WP_001135124.1
ABUW_RS00545	0.000166288311576606	0.111727224054709	0.169645622691767	0	1	1	WP_000939852.1
ABUW_RS00550	0.000113907751841276	0.122420248174541	0.151950966316113	0	1	1	WP_001055477.1
ABUW_RS00555	8.69989663770163e-05	0.224199415808202	0.192799193167805	0	1	1	WP_000876371.1
ABUW_RS00560	5.48934918083616e-05	0.33023073149094	0.16746385232946	0	1	1	WP_000999587.1
gshA	0.000142967966815407	0.161128397355814	0.139086103673752	0	1	1	WP_000082281.1
ABUW_RS00570	3.64985551265931e-05	0.0206630053995824	0.190508225617369	0	1	1	WP_001240041.1
ABUW_RS00575	0.000159276851496067	-0.00380378568921595	0.164125404032678	0	1	1	WP_000898344.1
ABUW_RS19650	6.78675831056466e-05	0.0764706249242452	0.231619492525881	0	1	1	WP_001034707.1
ABUW_RS00585	8.55690524936131e-06	0.0367616290793766	0.299291401691923	0	1	1	WP_000770763.1
ABUW_RS00590	1.12655671741677e-05	0.257716239174008	0.293635309820232	0	1	1	WP_000877633.1
ABUW_RS00595	1.36310546673389e-05	0.561385511799295	0.693157709009058	0	1	1	WP_001260545.1
ABUW_RS00600	2.03428459133421e-05	-0.0731822077620333	0.658191637729534	0	1	1	WP_000410830.1
ABUW_RS00605	0.00014740841267925	0.367762105035729	0.161021740934879	0	1	1	WP_001139635.1
ABUW_RS00610	2.6040737129959e-05	0.0418772196649796	0.205083929519129	0	1	1	WP_001021722.1
parE	0.00018863090436704	0.12751263831719	0.138685123399899	0	1	1	WP_000195974.1
ABUW_RS00620	1.43750299577959e-05	0.284586775120338	0.272593233832694	0	1	1	WP_000605500.1
alc	2.890919180078e-05	0.362831227020154	0.205546804391856	0	1	1	WP_000212411.1
hpxO	1.95889393080638e-05	0.716996653547863	0.368178354918144	0	1	1	WP_001103537.1
ABUW_RS00635	4.15093024050369e-05	0.243197413114731	0.185856298923637	0	1	1	WP_001176274.1
ABUW_RS00640	3.56831004705846e-05	0.319566205322292	0.21489945256282	0	1	1	WP_001016448.1
uraH	1.70061315676916e-05	0.0176653822562064	0.280045096289345	0	1	1	WP_000626018.1;WP_000167348.1
uraD	1.01679774477041e-05	-0.348777575989691	0.475269619360722	0	1	1	WP_000477669.1
puuE	3.12113639951432e-05	0.767616038868596	0.26930630440587	0	1	1	WP_000004703.1
ABUW_RS00660	0.000986824589859574	0.220133637831853	0.204160042700509	0	1	1	WP_001019316.1
ABUW_RS00665	9.20679169467381e-05	0.153522088168563	0.168303098852372	0	1	1	WP_000958427.1
ABUW_RS00670	0.000221022416696332	0.0501386983285362	0.13896846175113	0	1	1	WP_001258761.1
dsbD	0.000224353091817543	-0.0278048398923251	0.149827053944172	0	1	1	WP_000733830.1
ABUW_RS00680	6.02764697549223e-05	0.0723152481943829	0.204041715727026	0	1	1	WP_000702277.1
ABUW_RS00685	7.02846263538469e-05	0.293121120899571	0.179671970846629	0	1	1	WP_001025107.1
ABUW_RS00690	0.000205372856736017	0.0701528398058386	0.181397359280512	0	1	1	WP_000717012.1
ABUW_RS00695	2.13325951871047e-05	0.277082591657099	0.194907867449975	0	1	1	WP_000913165.1
xth	0.000116286227548608	-0.155871741936825	0.172719294881193	0	1	1	WP_000612365.1
pyrE	4.73671134747628e-05	0.225645960198146	0.186240034072441	0	1	1	WP_000211300.1
ABUW_RS00710	4.56068098572007e-05	0.313448657150096	0.276459833433748	0	1	1	WP_001998816.1
ABUW_RS00715	6.60257538564564e-06	0.416481933350876	0.390696706301552	0	1	1	WP_000781166.1
gshB	6.31685172715719e-05	-0.0616304915951017	0.16318431789856	0	1	1	WP_001265491.1
murG	0.000199622752997729	-0.055035674701334	0.147308664269061	0	1	1	WP_000132435.1
murC	0.000222478209671473	-0.0336105002030529	0.140190199970771	0	1	1	WP_000075472.1
ABUW_RS00735	0.000198851460586965	-0.0114574795413843	0.142993335753438	0	1	1	WP_000063665.1
ABUW_RS00740	0.000132964867866788	0.134979887253727	0.149822272063823	0	1	1	WP_000057904.1
ftsA	0.00149458898329069	0.274852831163134	0.145804958380299	0	1	1	WP_001287630.1
ftsZ	0.00182089215040794	0.108756839904497	0.134004121493111	0	1	1	WP_000135734.1
lpxC	0.000264317167101995	0.18099660513461	0.15500081108737	0	1	1	WP_000240700.1
ABUW_RS00760	0.000331412142538534	0.33954221024879	0.159808585182882	0	1	1	WP_000042455.1
ABUW_RS00765	0.00140702345589953	0.52386179496417	0.140131940256161	0	1	1	WP_000557460.1
aceE	0.00244818698421745	0.140818955799704	0.130709172629457	0	1	1	WP_000896433.1
ABUW_RS00775	0.00159143038476082	0.0384697613886011	0.131506426510335	0	1	1	WP_001166117.1
ABUW_RS00780	2.407864634144e-05	0.314260857411918	0.267970455308495	0	1	1	WP_000900285.1
ABUW_RS00785	0.000209470040236164	0.928619019501174	0.172049246983616	0	1	1	WP_001154984.1
ABUW_RS00790	0.000128794534388037	0.37427807213368	0.197883598928014	0	1	1	WP_000194085.1
ABUW_RS00795	3.27648083104049e-05	0.239529702076685	0.287607338347593	0	1	1	WP_000505317.1
ABUW_RS00800	2.28868986464291e-05	0.284633739605546	0.336186032022888	0	1	1	WP_000952249.1
guaB	0.000917543444577508	0.145090531393931	0.13019471669902	0	1	1	WP_000956023.1
glmM	0.000304230199497127	-0.00138731753901794	0.138765427468939	0	1	1	WP_000119870.1
pdxH	0.000135021903312587	-0.160970168168234	0.163988898860256	0	1	1	WP_001286115.1
recJ	0.000374250996661639	0.0105044177844655	0.192611107931573	0	1	1	WP_000161610.1
ABUW_RS00825	0.00545096940249833	-0.0594693248433131	0.166853147817126	0	1	1	WP_000731729.1
prfB	0.000166639202351734	0.190539929345806	0.154223709909857	0	1	1	no_data
ABUW_RS00835	5.21291477224407e-05	0.196164670716935	0.183907699634619	0	1	1	WP_000350419.1
ABUW_RS00840	0.000134613935368861	0.2933505328501	0.153157581109441	0	1	1	WP_000819049.1
ABUW_RS00845	9.93789473956556e-05	-0.154103526830175	0.165159928593079	0	1	1	WP_000224849.1
ABUW_RS00850	3.2651348116894e-05	-0.103869859149432	0.226361261576667	0	1	1	WP_001028416.1
ABUW_RS00855	9.25675969528952e-05	0.06786180502005	0.158369076593537	0	1	1	WP_000752853.1
ABUW_RS00860	4.77970304316478e-05	0.178770430853548	0.185947708884862	0	1	1	WP_000457175.1
acs	0.00045715001382804	0.274448360294196	0.195547037642751	0	1	1	WP_001002965.1
ABUW_RS00870	1.91918633201651e-05	0.414936694292614	0.325004340368461	0	1	1	WP_000806375.1
ABUW_RS00875	2.36360756634951e-05	-0.0561687533121854	0.361327904211917	0	1	1	WP_001019415.1
sfnG	0.000107371767417485	0.479843380279873	0.197476910358539	0	1	1	WP_000192774.1
msuE	7.80609790333539e-05	0.0103971796700439	0.203201365285401	0	1	1	WP_000145860.1
ABUW_RS00890	0.000126224016464081	-0.0783262333937165	0.15542417690434	0	1	1	WP_001023261.1
ABUW_RS00895	0.000610674399366929	0.582322114014813	0.152508492634063	0	1	1	WP_001026735.1
ABUW_RS00900	0.000253837319669034	0.0689022195478428	0.146234530902466	0	1	1	WP_001089740.1
ABUW_RS00905	6.98523684045752e-05	0.37843288746341	0.224748187475472	0	1	1	WP_000372818.1
